---
IAT at: 146c1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
146c1,7742a8f0,msvcrt._vwprintf_p #1033
---
IAT at: 6f7b1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
80fc8,755343b0,kernelbase.BaseUpdateAppcompatCache #109
80fd0,75534320,kernelbase.BaseFreeAppCompatDataForProcess #102
80fd4,75534380,kernelbase.BaseReadAppCompatDataForProcess #108
80fdc,755936b0,kernelbase.GetCommProperties #490
80fe0,75592e90,kernelbase.ClearCommBreak #158
80fe4,75593760,kernelbase.GetCommState #491
80fe8,755930a0,kernelbase.EscapeCommFunction #379
80fec,755931b0,kernelbase.GetCommConfig #486
80ff0,75593380,kernelbase.GetCommMask #487
80ff4,75593a80,kernelbase.GetCommTimeouts #492
80ff8,75593c10,kernelbase.PurgeComm #1366
80ffc,75593ca0,kernelbase.SetCommBreak #1591
81000,75593cc0,kernelbase.SetCommConfig #1592
81004,75593d60,kernelbase.SetCommMask #1593
81008,75593e10,kernelbase.SetCommState #1594
8100c,75594180,kernelbase.SetCommTimeouts #1595
81010,75594250,kernelbase.SetupComm #1728
81014,75594320,kernelbase.TransmitCommChar #1831
81018,755943b0,kernelbase.WaitCommEvent #1928
8101c,75592eb0,kernelbase.ClearCommError #159
81020,75593410,kernelbase.GetCommModemStatus #488
81028,754b1ce0,kernelbase.SetConsoleCtrlHandler #1603
8102c,75586c10,kernelbase.ReadConsoleW #1427
81030,755852d0,kernelbase.ReadConsoleInputW #1421
81034,75585240,kernelbase.ReadConsoleInputA #1418
81038,75586a50,kernelbase.ReadConsoleA #1417
8103c,75586d30,kernelbase.WriteConsoleW #1987
81040,75586c60,kernelbase.WriteConsoleA #1979
81044,75586390,kernelbase.GetNumberOfConsoleInputEvents #690
81048,7549ff50,kernelbase.GetConsoleOutputCP #523
8104c,7549fe00,kernelbase.GetConsoleMode #520
81050,75585e60,kernelbase.GetConsoleCP #509
81054,75586760,kernelbase.SetConsoleMode #1610
81058,755842c0,kernelbase.AllocConsole #49
81060,75584310,kernelbase.AttachConsole #93
81064,75585210,kernelbase.PeekConsoleInputW #1315
81068,755851e0,kernelbase.PeekConsoleInputA #1314
8106c,75584940,kernelbase.FreeConsole #449
81074,75584ab0,kernelbase.ResizePseudoConsole #1540
81078,75584a60,kernelbase.ClosePseudoConsole #164
8107c,75584a80,kernelbase.CreatePseudoConsole #250
81084,754effc0,kernelbase.ReleasePseudoConsole #1515
81088,754efce0,kernelbase.AllocConsoleWithOptions #50
81090,755850f0,kernelbase.FillConsoleOutputCharacterA #402
