---
IAT at: 146c1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
146c1,7742a8f0,msvcrt._vwprintf_p #1033
---
IAT at: 6f7b1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
8164c,75548a90,kernelbase.SetThreadLocale #1703
81650,754b2bf0,kernelbase.GetSystemDefaultLCID #816
81654,7554e720,kernelbase.IsDBCSLeadByteEx #1002
81658,75546880,kernelbase.FindNLSString #419
8165c,754a4330,kernelbase.GetCPInfo #480
81660,755512a0,kernelbase.GetProcessPreferredUILanguages #759
81668,75482100,kernelbase.EnumCalendarInfoExEx #340
8166c,75549150,kernelbase.EnumCalendarInfoW #342
81670,755491f0,kernelbase.EnumDateFormatsW #345
81674,755491c0,kernelbase.EnumDateFormatsExW #344
81678,75480660,kernelbase.EnumTimeFormatsEx #370
8167c,75549110,kernelbase.EnumCalendarInfoExW #341
81680,75549300,kernelbase.EnumTimeFormatsW #371
81684,75549190,kernelbase.EnumDateFormatsExEx #343
81688,7554f660,kernelbase.GetNumberFormatEx #688
8168c,75549250,kernelbase.EnumSystemCodePagesW #362
81690,7554f220,kernelbase.GetCurrencyFormatEx #531
81698,75547530,kernelbase.NlsCheckPolicy #1125
8169c,754b2f70,kernelbase.NlsGetCacheUpdateCount #1128
816a0,75547a40,kernelbase.NlsUpdateSystemLocale #1131
816a4,755478f0,kernelbase.NlsUpdateLocale #1130
816ac,7558e080,kernelbase.VirtualProtectEx #1920
816b0,754a36b0,kernelbase.VirtualAllocEx #1913
816b4,75493ac0,kernelbase.OpenFileMappingW #1148
816b8,754a6760,kernelbase.UnmapViewOfFile #1844
816bc,75597620,kernelbase.FlushViewOfFile #442
816c0,7558dfa0,kernelbase.VirtualFreeEx #1917
816c4,75493d20,kernelbase.CreateFileMappingW #227
816c8,754a5810,kernelbase.MapViewOfFile #1110
816cc,754a5fb0,kernelbase.MapViewOfFileEx #1111
816d0,7558e1e0,kernelbase.WriteProcessMemory #1991
816d4,754acbe0,kernelbase.VirtualQueryEx #1923
816d8,754a1c80,kernelbase.ReadProcessMemory #1433
816dc,754a3650,kernelbase.VirtualAlloc #1912
816e0,754a4c00,kernelbase.VirtualProtect #1919
816e4,754a5a00,kernelbase.VirtualQuery #1922
816e8,754a2a90,kernelbase.VirtualFree #1916
816f0,7558d530,kernelbase.GetProcessWorkingSetSizeEx #765
816f4,754b3420,kernelbase.CreateMemoryResourceNotification #233
816f8,7558e040,kernelbase.VirtualLock #1918
816fc,7558dd10,kernelbase.SetProcessWorkingSetSizeEx #1678
81700,7551bd40,kernelbase.SetProcessWorkingSetSize #1677
81704,7558d5b0,kernelbase.GetSystemFileCacheSize #822
81708,75493d50,kernelbase.CreateFileMappingNumaW #226
8170c,7558d9d0,kernelbase.QueryMemoryResourceNotification #1381
81710,754a37a0,kernelbase.ResetWriteWatch #1539
81714,7558d4b0,kernelbase.GetLargePageMinimum #644
81718,754a2b10,kernelbase.GetWriteWatch #904
8171c,7558ddd0,kernelbase.SetSystemFileCacheSize #1692
81720,7558e160,kernelbase.VirtualUnlock #1924
81724,7551bc50,kernelbase.GetProcessWorkingSetSize #764
8172c,7558d390,kernelbase.AllocateUserPhysicalPagesNuma #55
81730,7558db50,kernelbase.RegisterBadMemoryNotification #1505
81734,7558d480,kernelbase.FreeUserPhysicalPages #459
81738,7558d4c0,kernelbase.GetMemoryErrorHandlingCapabilities #662
8173c,754a36e0,kernelbase.VirtualAllocExNuma #1914
81740,7558d690,kernelbase.MapUserPhysicalPages #1107
81744,7558de70,kernelbase.UnregisterBadMemoryNotification #1847
81748,7558d360,kernelbase.AllocateUserPhysicalPages #54
81750,755900d0,kernelbase.PeekNamedPipe #1316
81754,754b0e70,kernelbase.CreatePipe #239
81758,7558f830,kernelbase.ConnectNamedPipe #185
8175c,755904c0,kernelbase.WaitNamedPipeW #1941
81760,75590360,kernelbase.TransactNamedPipe #1830
81764,75590270,kernelbase.SetNamedPipeHandleState #1656
81768,7558f8c0,kernelbase.CreateNamedPipeW #238
8176c,7558fd00,kernelbase.GetNamedPipeClientComputerNameW #679
81770,7558fb40,kernelbase.DisconnectNamedPipe #315
81778,7558fd50,kernelbase.GetNamedPipeHandleStateW #680
81780,7558f700,kernelbase.CallNamedPipeW #125
81788,755325e0,kernelbase.ClosePrivateNamespace #163
8178c,754b3e90,kernelbase.CreateBoundaryDescriptorW #204
81790,754b4070,kernelbase.AddSIDToBoundaryDescriptor #43
81794,75532650,kernelbase.OpenPrivateNamespaceW #1154
81798,754b4300,kernelbase.DeleteBoundaryDescriptor #288
8179c,754b0cb0,kernelbase.CreatePrivateNamespaceW #240
817a4,755517b0,kernelbase.GetStringScripts #808
817a8,75551b70,kernelbase.IsNormalizedString #1011
817ac,75551c50,kernelbase.VerifyScripts #1909
817b0,75551ab0,kernelbase.IdnToNameprepUnicode #935
817b4,75551bd0,kernelbase.NormalizeString #1133
817bc,7559f470,kernelbase.SetStdHandleEx #1691
817c0,7559e700,kernelbase.GetCurrentDirectoryA #537
817c4,754b31c0,kernelbase.GetCommandLineA #493
817c8,7559d520,kernelbase.SetEnvironmentStringsW #1627
817cc,7559eaa0,kernelbase.SetCurrentDirectoryA #1622
817d0,7559e8d0,kernelbase.GetCurrentDirectoryW #538
817d4,7559f400,kernelbase.SetStdHandle #1690
817d8,75492010,kernelbase.GetEnvironmentVariableA #590
817dc,7559eb40,kernelbase.SetCurrentDirectoryW #1623
817e0,754aeb50,kernelbase.ExpandEnvironmentStringsA #392
817e4,7559d5b0,kernelbase.SetEnvironmentVariableA #1628
817e8,754a1cd0,kernelbase.GetEnvironmentStringsW #589
817ec,754afa80,kernelbase.FreeEnvironmentStringsA #450
817f0,7559d680,kernelbase.SetEnvironmentVariableW #1629
817f4,7559d450,kernelbase.GetEnvironmentStrings #587
817f8,754946c0,kernelbase.GetEnvironmentVariableW #591
817fc,755885e0,kernelbase.SearchPathW #1585
81800,754979b0,kernelbase.ExpandEnvironmentStringsW #393
81804,754b32d0,kernelbase.GetCommandLineW #494
81808,754ad0a0,kernelbase.GetStdHandle #807
8180c,754afa80,kernelbase.FreeEnvironmentStringsA #450
81814,755993a0,kernelbase.NeedCurrentDirectoryForExePathA #1123
81818,75588370,kernelbase.SearchPathA #1584
8181c,755993d0,kernelbase.NeedCurrentDirectoryForExePathW #1124
81824,7555fe80,kernelbase.PssCaptureSnapshot #1353
81828,75560310,kernelbase.PssWalkSnapshot #1362
8182c,755601a0,kernelbase.PssWalkMarkerCreate #1357
81830,75560250,kernelbase.PssWalkMarkerSeekToBeginning #1360
81834,7555ff00,kernelbase.PssFreeSnapshot #1355
81838,755602d0,kernelbase.PssWalkMarkerGetPosition #1359
8183c,75560200,kernelbase.PssWalkMarkerFree #1358
81840,75560290,kernelbase.PssWalkMarkerSetPosition #1361
81844,7555feb0,kernelbase.PssDuplicateSnapshot #1354
81848,7555ff50,kernelbase.PssQuerySnapshot #1356
81850,75492800,kernelbase.ProcessIdToSessionId #1338
81854,754b2110,kernelbase.GetExitCodeThread #595
81858,754b33f0,kernelbase.ResumeThread #1546
8185c,75520fe0,kernelbase.SuspendThread #1804
81860,754a1720,kernelbase.GetProcessVersion #763
81864,754ac400,kernelbase.SetThreadPriority #1706
81868,754b3e60,kernelbase.GetProcessId #752
8186c,75599d70,kernelbase.SetProcessShutdownParameters #1674
81870,75596950,kernelbase.GetProcessIdOfThread #753
81874,75599ec0,kernelbase.TerminateProcess #1811
81878,75599650,kernelbase.SetPriorityClass #1661
8187c,75492870,kernelbase.TlsSetValue #1826
81880,75597040,kernelbase.TerminateThread #1813
81884,75596c50,kernelbase.GetThreadPriorityBoost #862
81888,754922b0,kernelbase.CreateRemoteThreadEx #253
8188c,754ad740,kernelbase.GetStartupInfoW #800
81890,75598ad0,kernelbase.GetExitCodeProcess #594
81894,754b3010,kernelbase.GetProcessTimes #762
81898,754b35d0,kernelbase.OpenThread #1164
8189c,755968b0,kernelbase.CreateRemoteThread #252
818a0,754b2780,kernelbase.InitializeProcThreadAttributeList #954
818a4,754b2150,kernelbase.UpdateProcThreadAttribute #1860
818a8,754b4520,kernelbase.DeleteProcThreadAttributeList #299
818ac,754ada70,kernelbase.OpenProcessToken #1156
818b0,754ae9d0,kernelbase.GetThreadPriority #861
818b4,75597010,kernelbase.SwitchToThread #1806
818b8,755995c0,kernelbase.QueryProcessAffinityUpdateMode #1386
818bc,754adb30,kernelbase.TlsFree #1823
818c0,75598620,kernelbase.CreateProcessA #244
818c4,754a6940,kernelbase.CreateProcessW #249
818c8,754afae0,kernelbase.SetThreadStackGuarantee #1710
818cc,75596b00,kernelbase.GetThreadId #856
818d0,75596d10,kernelbase.QueueUserAPC #1401
818d4,75598b70,kernelbase.GetPriorityClass #742
818d8,755997f0,kernelbase.SetProcessAffinityUpdateMode #1664
818dc,75596f50,kernelbase.SetThreadPriorityBoost #1707
818e0,75492840,kernelbase.TlsAlloc #1822
818e8,754acd90,kernelbase.GetThreadTimes #865
818ec,754aca20,kernelbase.IsProcessorFeaturePresent #1015
818f0,75520f80,kernelbase.GetThreadContext #850
818f4,75599b20,kernelbase.SetProcessMitigationPolicy #1671
818f8,75520fb0,kernelbase.SetThreadContext #1696
818fc,75598cd0,kernelbase.GetProcessHandleCount #749
81900,75596e40,kernelbase.SetThreadIdealProcessorEx #1701
81904,75494370,kernelbase.OpenProcess #1155
81908,754a5a40,kernelbase.FlushInstructionCache #440
8190c,75596b40,kernelbase.GetThreadIdealProcessorEx #857
81910,754a61a0,kernelbase.GetProcessMitigationPolicy #758
81918,75599d30,kernelbase.SetProcessPriorityBoost #1673
8191c,75598fa0,kernelbase.GetProcessPriorityBoost #760
81920,75596b90,kernelbase.GetThreadInformation #858
81924,75596ab0,kernelbase.GetThreadIOPendingFlag #855
81928,755990c0,kernelbase.GetSystemTimes #836
8192c,75596e90,kernelbase.SetThreadInformation #1702
81934,75599950,kernelbase.SetProcessInformation #1670
81938,75598d10,kernelbase.GetProcessInformation #756
8193c,75598fe0,kernelbase.GetProcessShutdownParameters #761
81940,75596e00,kernelbase.SetThreadIdealProcessor #1700
81948,75596d70,kernelbase.SetThreadGroupAffinity #1699
8194c,75596a70,kernelbase.GetThreadGroupAffinity #854
81950,75598c70,kernelbase.GetProcessGroupAffinity #748
81958,775698f0,kernelbase.QueryPerformanceFrequency #1385
8195c,77561e30,kernelbase.QueryPerformanceCounter #1384
81964,755326c0,kernelbase.QueryFullProcessImageNameA #1373
81968,755610e0,kernelbase.EnumPageFilesA #349
8196c,75560f60,kernelbase.GetDeviceDriverFileNameA #568
81970,75561920,kernelbase.GetMappedFileNameA #660
81974,755616f0,kernelbase.GetProcessImageFileNameA #754
81978,75560e70,kernelbase.GetDeviceDriverBaseNameA #566
8197c,75561650,kernelbase.GetModuleFileNameExA #668
81980,75561530,kernelbase.GetModuleBaseNameA #665
81988,755618e0,kernelbase.InitializeProcessForWsWatch #955
8198c,75561880,kernelbase.GetWsChanges #905
81990,75560b60,kernelbase.QueryWorkingSet #1398
81994,75560fd0,kernelbase.GetDeviceDriverFileNameW #569
81998,7549f980,kernelbase.GetModuleFileNameExW #669
8199c,755618b0,kernelbase.GetWsChangesEx #906
819a0,755619a0,kernelbase.GetMappedFileNameW #661
819a4,75490d80,kernelbase.EnumProcessModules #351
819a8,75561260,kernelbase.GetPerformanceInfo #736
819ac,754af960,kernelbase.QueryFullProcessImageNameW #1374
819b0,75561130,kernelbase.EnumPageFilesW #350
819b4,75560cf0,kernelbase.EnumDeviceDrivers #346
819b8,754ac260,kernelbase.EnumProcesses #353
819bc,7549f910,kernelbase.GetModuleInformation #675
819c0,75560ef0,kernelbase.GetDeviceDriverBaseNameW #567
819c4,75561790,kernelbase.GetProcessMemoryInfo #757
819c8,755615a0,kernelbase.GetModuleBaseNameW #666
819cc,755614c0,kernelbase.EnumProcessModulesEx #352
819d0,75560ba0,kernelbase.QueryWorkingSetEx #1399
819d4,754b2f90,kernelbase.GetProcessImageFileNameW #755
819d8,75560ae0,kernelbase.EmptyWorkingSet #332
819e0,7559f670,kernelbase.QueryThreadCycleTime #1393
819e4,7559f610,kernelbase.QueryProcessCycleTime #1387
819e8,7559f5d0,kernelbase.QueryIdleProcessorCycleTimeEx #1377
819ec,7559f590,kernelbase.QueryIdleProcessorCycleTime #1376
819f0,77562c10,kernelbase.QueryUnbiasedInterruptTime #1395
819f8,75495040,kernelbase.RegNotifyChangeKeyValue #1480
819fc,7555f700,kernelbase.RegSetValueExW #1501
81a00,75495f20,kernelbase.RegEnumKeyExW #1459
81a04,7555f4b0,kernelbase.RegSetValueExA #1500
81a08,7555c440,kernelbase.RegDeleteKeyExW #1450
81a0c,754b0c80,kernelbase.RegOpenCurrentUser #1481
81a10,7555c040,kernelbase.RegCopyTreeW #1442
81a14,754950e0,kernelbase.RegQueryInfoKeyW #1488
81a18,7555d880,kernelbase.RegLoadKeyA #1476
81a1c,7555c260,kernelbase.RegDeleteKeyExA #1447
81a20,7555dc70,kernelbase.RegUnLoadKeyW #1503
81a24,7555bad0,kernelbase.RegDisablePredefinedCacheEx #1457
81a28,7555da50,kernelbase.RegLoadKeyW #1477
81a2c,75495760,kernelbase.RegOpenKeyExA #1482
81a30,7555f0f0,kernelbase.RegRestoreKeyW #1494
81a34,754cf970,kernelbase.RegGetValueA #1464
81a38,7555dfe0,kernelbase.RegOpenUserClassesRoot #1486
81a3c,7555db70,kernelbase.RegUnLoadKeyA #1502
81a40,7555cac0,kernelbase.RegEnumValueA #1460
81a44,7549a780,kernelbase.RegDeleteValueW #1456
81a48,7555efd0,kernelbase.RegRestoreKeyA #1493
81a4c,7555f1f0,kernelbase.RegSaveKeyExA #1495
81a50,7555dd60,kernelbase.RegLoadMUIStringA #1478
81a54,7555c9c0,kernelbase.RegDeleteValueA #1455
81a58,7555d3c0,kernelbase.RegSetKeySecurity #1497
81a5c,7555dd70,kernelbase.RegLoadMUIStringW #1479
81a60,7555c700,kernelbase.RegDeleteTreeA #1453
81a64,7555d6f0,kernelbase.RegLoadAppKeyW #1475
81a68,7555c760,kernelbase.RegDeleteTreeW #1454
81a6c,7555e1e0,kernelbase.RegQueryInfoKeyA #1487
81a70,754959c0,kernelbase.RegQueryValueExA #1491
81a74,7555b830,kernelbase.RegCreateKeyExA #1443
81a78,754913b0,kernelbase.RegCreateKeyExW #1446
81a7c,7555f360,kernelbase.RegSaveKeyExW #1496
81a80,754953f0,kernelbase.RegEnumValueW #1461
81a84,75496740,kernelbase.RegQueryValueExW #1492
81a88,75498070,kernelbase.RegEnumKeyExA #1458
81a8c,75497bd0,kernelbase.RegCloseKey #1441
81a90,7555baf0,kernelbase.RegFlushKey #1462
81a94,7555d140,kernelbase.RegGetKeySecurity #1463
81a98,754963f0,kernelbase.RegOpenKeyExW #1485
81a9c,754960d0,kernelbase.RegGetValueW #1465
81aa4,7756e510,ntdll.RtlUnwind #1602
81aa8,775b2040,ntdll.RtlCaptureContext #810
81ab0,7754e490,ntdll.RtlPcToFileHeader #1345
81ab4,775b1740,ntdll.RtlCompareMemory #838
81abc,754b4200,kernelbase.ReleaseActCtx #1511
81ac0,754b41e0,kernelbase.CreateActCtxW #201
81ac4,754ae240,kernelbase.QueryActCtxSettingsW #1368
81ac8,755341f0,kernelbase.GetCurrentActCtx #533
81acc,75534220,kernelbase.ZombifyActCtx #1994
81ad0,755341a0,kernelbase.AddRefActCtx #41
81ad4,754b28d0,kernelbase.QueryActCtxW #1369
81ad8,754b31d0,kernelbase.DeactivateActCtx #277
81adc,755341c0,kernelbase.FindActCtxSectionStringW #405
81ae0,754a68f0,kernelbase.FindActCtxSectionGuid #404
81ae4,754b3200,kernelbase.ActivateActCtx #20
81aec,75546840,kernelbase.GetStringTypeExW #811
81af0,7548ee20,kernelbase.CompareStringW #184
81af4,7554b120,kernelbase.FoldStringW #443
81af8,75490120,kernelbase.MultiByteToWideChar #1120
81afc,7548f9a0,kernelbase.CompareStringEx #182
81b00,75480c80,kernelbase.WideCharToMultiByte #1966
81b04,7549f770,kernelbase.GetStringTypeW #812
81b08,7549b290,kernelbase.CompareStringOrdinal #183
81b10,754a4a00,kernelbase.WaitForMultipleObjectsEx #1933
81b14,754a3c90,kernelbase.WaitForSingleObjectEx #1935
81b18,77562400,kernel32.InitializeCriticalSection #910
81b1c,77564580,kernel32.DeleteCriticalSection #304
81b20,77553bd0,kernel32.EnterCriticalSection #341
81b24,77552bd0,kernel32.LeaveCriticalSection #1006
81b28,754a3c70,kernelbase.WaitForSingleObject #1934
81b2c,754adf20,kernelbase.SleepEx #1735
81b30,754a4640,kernelbase.SetWaitableTimer #1725
81b34,754a6790,kernelbase.SetEvent #1631
81b38,754a6730,kernelbase.ResetEvent #1537
81b3c,75591c20,kernelbase.CancelWaitableTimer #131
81b40,754929a0,kernelbase.CreateEventA #213
81b44,754929e0,kernelbase.CreateEventExA #214
81b48,75492a60,kernelbase.CreateEventExW #215
81b4c,75492a20,kernelbase.CreateEventW #216
81b50,754b1320,kernelbase.CreateMutexA #234
81b54,754b1350,kernelbase.CreateMutexExA #235
81b58,75493970,kernelbase.CreateMutexExW #236
81b5c,75492130,kernelbase.CreateMutexW #237
81b60,75493c90,kernelbase.CreateSemaphoreExW #255
81b64,75492100,kernelbase.ReleaseSemaphore #1518
81b68,754af8c0,kernelbase.CreateWaitableTimerExW #272
81b6c,754a6100,kernelbase.InitializeCriticalSectionAndSpinCount #951
81b70,754a4530,kernelbase.InitializeCriticalSectionEx #952
81b74,754921b0,kernelbase.OpenEventA #1144
81b78,75493bd0,kernelbase.OpenEventW #1145
81b7c,754af800,kernelbase.OpenMutexW #1150
81b80,75493630,kernelbase.OpenSemaphoreW #1158
81b84,75591d60,kernelbase.OpenWaitableTimerW #1166
81b88,754ae040,kernelbase.ReleaseMutex #1512
81b90,75591cb0,kernelbase.EnterSynchronizationBarrier #339
81b94,75591d10,kernelbase.InitializeSynchronizationBarrier #960
81b98,75520c70,kernelbase.DeleteSynchronizationBarrier #303
81b9c,75591e50,kernelbase.SignalObjectAndWait #1730
81ba0,7549f8d0,kernelbase.InitOnceExecuteOnce #944
81ba8,754a49d0,kernelbase.WaitForMultipleObjects #1932
81bac,75591c50,kernelbase.CreateSemaphoreW #256
81bb4,754ae4f0,kernelbase.GetComputerNameExW #498
81bb8,754acfe0,kernelbase.GetVersionExW #894
81bbc,754b24d0,kernelbase.GetSystemTimeAdjustment #832
81bc0,75595c00,kernelbase.SetLocalTime #1654
81bc4,754acef0,kernelbase.GetVersionExA #893
81bc8,754a0a20,kernelbase.GetSystemInfo #824
81bcc,75598b10,kernelbase.GetLogicalProcessorInformation #655
81bd0,754a1f60,kernelbase.GetLocalTime #648
81bd4,754aea20,kernelbase.GetWindowsDirectoryW #903
81bd8,754ad800,kernelbase.GlobalMemoryStatusEx #913
81bdc,754a2070,kernelbase.GetTickCount #868
81be0,7549f890,kernelbase.GetSystemTimeAsFileTime #834
81be4,7559ce70,kernelbase.GetComputerNameExA #497
81be8,754a3aa0,kernelbase.GetSystemTime #831
81bec,754b30a0,kernelbase.GetLogicalProcessorInformationEx #656
81bf0,75588310,kernelbase.GetWindowsDirectoryA #902
81bf4,7558d0d0,kernelbase.GetVersion #892
81bfc,7559d330,kernelbase.GetSystemFirmwareTable #823
81c00,7559d210,kernelbase.EnumSystemFirmwareTables #363
81c04,7558cfd0,kernelbase.GetProductInfo #768
81c08,754a0910,kernelbase.GetNativeSystemInfo #682
81c0c,7559d150,kernelbase.SetComputerNameExW #1599
81c10,75595ce0,kernelbase.SetSystemTime #1693
81c14,754af0e0,kernelbase.GetSystemTimePreciseAsFileTime #835
81c1c,7559cda0,kernelbase.DnsHostnameToComputerNameExW #316
81c20,7559eca0,kernelbase.GetPhysicallyInstalledSystemMemory #740
81c24,7559d000,kernelbase.SetComputerNameEx2W #1597
81c2c,7559d170,kernelbase.SetComputerNameW #1600
81c30,7559d0e0,kernelbase.SetComputerNameExA #1598
81c34,7559cf80,kernelbase.SetComputerNameA #1596
81c3c,754b3280,kernelbase.GetNumaHighestNodeNumber #684
81c40,7559ebe0,kernelbase.GetNumaNodeProcessorMaskEx #686
81c48,7559ec50,kernelbase.GetNumaProximityNodeEx #687
81c50,75592080,kernelbase.ChangeTimerQueueTimer #133
81c54,755922c0,kernelbase.UnregisterWaitEx #1852
81c58,75592160,kernelbase.DeleteTimerQueueEx #305
81c5c,75592100,kernelbase.CreateTimerQueueTimer #271
81c60,75520cc0,kernelbase.DeleteTimerQueue #304
81c64,755920d0,kernelbase.CreateTimerQueue #270
81c68,75592210,kernelbase.QueueUserWorkItem #1402
81c6c,755921b0,kernelbase.DeleteTimerQueueTimer #306
81c74,75592240,kernelbase.RegisterWaitForSingleObjectEx #1510
81c7c,754a1d60,kernelbase.GetTimeZoneInformation #872
81c80,754a1dd0,kernelbase.GetDynamicTimeZoneInformation #580
81c84,75595b60,kernelbase.SetDynamicTimeZoneInformation #1625
81c88,75595e60,kernelbase.SetTimeZoneInformation #1720
81c8c,754a2100,kernelbase.FileTimeToSystemTime #400
81c90,75596490,kernelbase.TzSpecificLocalTimeToSystemTime #1838
81c94,754a3d80,kernelbase.SystemTimeToFileTime #1807
81c98,75595fc0,kernelbase.SystemTimeToTzSpecificLocalTime #1808
81c9c,75595240,kernelbase.GetTimeZoneInformationForYear #873
81ca4,7558f3c0,kernelbase.Beep #114
81cac,754a2b50,kernelbase.WerRegisterRuntimeExceptionModule #1954
81cb0,75534470,kernelbase.GetApplicationRestartSettings #474
81cb4,75534600,kernelbase.WerUnregisterMemoryBlock #1962
81cb8,75534530,kernelbase.WerRegisterFile #1952
81cbc,75534620,kernelbase.WerUnregisterRuntimeExceptionModule #1963
81cc0,755345e0,kernelbase.WerUnregisterFile #1961
81cc4,755343e0,kernelbase.GetApplicationRecoveryCallback #473
81cc8,754b28b0,kernelbase.WerRegisterMemoryBlock #1953
81cd0,75534510,kernelbase.WerRegisterExcludedMemoryBlock #1951
81cd4,75534570,kernelbase.WerUnregisterAdditionalProcess #1957
81cd8,755345a0,kernelbase.WerUnregisterCustomMetadata #1959
81cdc,755344f0,kernelbase.WerRegisterCustomMetadata #1950
81ce0,755345c0,kernelbase.WerUnregisterExcludedMemoryBlock #1960
81ce4,755344b0,kernelbase.WerRegisterAdditionalProcess #1948
81cec,755344d0,kernelbase.WerRegisterAppLocalDump #1949
81cf0,75534590,kernelbase.WerUnregisterAppLocalDump #1958
81cf8,754bbc80,kernelbase.UnregisterApplicationRestart #1846
81cfc,754bbb70,kernelbase.RegisterApplicationRestart #1504
81d04,754a09b0,kernelbase.IsWow64Process #1036
81d08,754b3af0,kernelbase.Wow64RevertWow64FsRedirection #1975
81d0c,75520c40,kernelbase.Wow64EnableWow64FsRedirection #1973
81d10,754b3c80,kernelbase.Wow64DisableWow64FsRedirection #1972
81d18,75587910,kernelbase.GetSystemWow64DirectoryW #842
81d1c,75587820,kernelbase.GetSystemWow64Directory2W #840
81d20,755878f0,kernelbase.GetSystemWow64DirectoryA #841
81d24,754a09f0,kernelbase.IsWow64Process2 #1035
81d2c,75520f80,kernelbase.GetThreadContext #850
81d30,75520fb0,kernelbase.SetThreadContext #1696
81d34,75520fe0,kernelbase.SuspendThread #1804
81d3c,754b1570,kernelbase.GetEnabledXStateFeatures #586
81d40,7553e8b0,kernelbase.GetXStateFeaturesMask #907
81d44,7553eb60,kernelbase.SetXStateFeaturesMask #1727
81d48,7553ea30,kernelbase.InitializeContext #949
81d4c,7553ea60,kernelbase.LocateXStateFeature #1097
81d50,7553e880,kernelbase.CopyContext #194
81d58,7553e980,kernelbase.InitializeContext2 #948
81d60,754c5d10,kernelbase.GetThreadEnabledXStateFeatures #852
81d64,754c5cf0,kernelbase.EnableProcessOptionalXStateFeatures #333
81d6c,77548930,advapi32.EventSetInformation #1271
81d70,775462f0,advapi32.EventRegister #1270
81d74,77547970,advapi32.EventUnregister #1272
81d78,775683b0,advapi32.EventWriteTransfer #1278
81d80,754b37e0,kernelbase.GetAppContainerNamedObjectPath #470
81d88,754a4710,kernelbase.CreateWellKnownSid #274
81d8c,754b0850,kernelbase.EqualSid #378
81d90,75494110,kernelbase.GetTokenInformation #874
81d94,754b0a30,kernelbase.FreeSid #458
81d98,754b31a0,kernelbase.GetSidSubAuthorityCount #796
81d9c,754aff00,kernelbase.GetSidSubAuthority #795
81da0,754b1880,kernelbase.InitializeSid #959
81da4,754aefb0,kernelbase.DuplicateToken #330
81da8,754adae0,kernelbase.AllocateAndInitializeSid #51
81dac,75491fb0,kernelbase.AccessCheck #10
81db4,75588d80,kernelbase.AddScopedPolicyIDAce #44
81db8,7558a070,kernelbase.SetCachedSigningLevel #1587
81dbc,754b1700,kernelbase.CheckTokenMembershipEx #155
81dc0,755897f0,kernelbase.GetCachedSigningLevel #482
81dc4,754aecf0,kernelbase.GetAppContainerAce #469
81dc8,75588d40,kernelbase.AddResourceAttributeAce #42
81dcc,75588eb0,kernelbase.CheckTokenCapability #153
81dd4,7757d6a0,ntdll._aullshr #2340
81dd8,77595610,ntdll.RtlUnhandledExceptionFilter #1576
81ddc,77579960,ntdll.NtTerminateProcess #667
81de0,77581d20,ntdll.wcsncmp #2511
81de4,77581d60,ntdll.wcsncpy #2512
81de8,77571980,ntdll.LdrFindResourceEx_U #131
81dec,775cb5e0,ntdll.RtlReadThreadProfilingData #1419
81df0,775cb5c0,ntdll.RtlQueryThreadProfiling #1396
81df4,775cb4e0,ntdll.RtlEnableThreadProfiling #977
81df8,775cb490,ntdll.RtlDisableThreadProfiling #956
81dfc,7756afd0,ntdll.RtlNtStatusToDosErrorNoTeb #1330
81e00,775796b0,ntdll.NtMapUserPhysicalPagesScatter #433
81e04,7752cfd0,kernel32.DecodeSystemPointer #298
81e08,7757f550,ntdll.bsearch #2421
81e0c,775d1a90,ntdll.RtlComputeImportTableHash #845
81e10,7753b380,ntdll.RtlFindActivationContextSectionGuid #1024
81e14,77566fa0,ntdll.RtlCreateActivationContext #878
81e18,77578d30,ntdll.RtlPublishWnfStateData #1352
81e1c,7757edc0,ntdll._wcslwr #2402
81e20,7757aca0,ntdll.NtQueryLicenseValue #522
81e24,7757f420,ntdll._wtol #2415
81e28,77587c40,ntdll.memmove_s #2456
81e2c,775f5fb0,ntdll.RtlGUIDFromString #1065
81e30,77580080,ntdll.memmove #2455
81e34,7752d970,ntdll.DbgPrint #51
81e38,77588460,ntdll.wcsncpy_s #2513
81e3c,775715b0,ntdll.RtlGetDeviceFamilyInfoEnum #1087
81e40,77579bf0,ntdll.NtCreateFile #305
81e44,775738e0,kernel32.EncodeSystemPointer #338
81e48,7756dcf0,ntdll.RtlQueryEnvironmentVariable_U #1364
81e4c,7756c7e0,advapi32.EventEnabled #1268
81e50,775462f0,advapi32.EventRegister #1270
81e54,77565c20,advapi32.EventWrite #1273
81e58,77541c00,ntdll.RtlHashUnicodeString #1150
81e5c,7757b620,ntdll.NtWow64ReadVirtualMemory64 #715
81e60,77547970,advapi32.EventUnregister #1272
81e64,77563650,ntdll.RtlTimeFieldsToTime #1551
81e68,775638d0,ntdll.RtlTimeToTimeFields #1555
81e6c,77579920,ntdll.NtMapViewOfSection #434
81e70,77618030,ntdll.RtlDoesFileExists_U #960
81e74,77579940,ntdll.NtUnmapViewOfSection #682
81e78,7755cdc0,ntdll.RtlReleaseActivationContext #1427
81e7c,77555a20,ntdll.LdrResFindResourceDirectory #173
81e80,7755b5b0,ntdll.RtlQueryInformationActivationContext #1371
81e84,775359f0,ntdll.RtlSetThreadPreferredUILanguages #1516
81e88,77588170,ntdll.swprintf_s #2489
81e8c,7754f3a0,ntdll.RtlImageNtHeaderEx #1158
81e90,7755a920,ntdll.RtlDetermineDosPathNameType_U #955
